ticker,sector
AAPL,Technology
MSFT,Technology
NVDA,Technology
GOOGL,Technology
META,Technology
AMD,Technology
ORCL,Technology
ADBE,Technology
CRM,Technology
INTC,Technology
JPM,Finance
GS,Finance
V,Finance
BAC,Finance
MS,Finance
BLK,Finance
AXP,Finance
C,Finance
WFC,Finance
SCHW,Finance
JNJ,Healthcare
PFE,Healthcare
UNH,Healthcare
ABBV,Healthcare
MRK,Healthcare
TMO,Healthcare
ABT,Healthcare
LLY,Healthcare
BMY,Healthcare
AMGN,Healthcare
XOM,Energy
CVX,Energy
COP,Energy
SLB,Energy
EOG,Energy
MPC,Energy
VLO,Energy
PSX,Energy
OXY,Energy
BA,Industrials
CAT,Industrials
HON,Industrials
GE,Industrials
MMM,Industrials
UPS,Industrials
FDX,Industrials
LMT,Industrials
RTX,Industrials
DE,Industrials
